NAME,TEAM,GP,MIN,PTS,AST,OREB,DREB,REB,STL,BLK,TOV,PF,+/-,DD2,TD3,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%
Kevin Porter Jr.,HOU,59,31.0,15.1,6.2,0.7,3.5,4.2,1.1,0.4,3.2,2.6,-4.6,9,1,5.3,12.9,0.411,2.5,6.6,0.37,2.0,3.2,0.629
Kevon Looney,GSW,79,21.4,6.0,2.0,2.6,4.8,7.3,0.6,0.7,0.8,2.7,2.2,5,0,2.5,4.5,0.569,0.0,0.0,0.0,0.9,1.6,0.6
Khem Birch,TOR,52,17.9,4.5,1.0,2.2,2.2,4.3,0.5,0.5,0.5,1.9,0.3,0,0,1.7,3.6,0.481,0.0,0.3,0.0,1.0,1.4,0.746
Khris Middleton,MIL,64,32.4,20.1,5.4,0.6,4.8,5.4,1.1,0.3,2.9,2.5,4.2,4,0,6.8,15.5,0.441,2.4,6.5,0.372,4.0,4.5,0.89
Killian Hayes,DET,64,25.1,6.9,4.3,0.6,2.7,3.2,1.2,0.5,1.7,2.8,-5.3,2,0,2.7,6.9,0.384,0.7,2.5,0.27,0.9,1.1,0.778
Killian Tillie,MEM,36,12.8,3.3,0.6,0.6,1.1,1.7,0.6,0.4,0.4,1.6,0.8,0,0,1.2,3.5,0.339,0.8,2.4,0.314,0.1,0.2,0.625
Kira Lewis Jr.,NOP,24,14.2,5.9,2.0,0.4,1.3,1.6,0.5,0.0,1.1,0.7,-4.5,0,0,2.5,6.1,0.404,0.5,2.4,0.224,0.4,0.5,0.833
Klay Thompson,GSW,30,29.2,19.3,2.7,0.5,3.5,3.9,0.5,0.6,1.3,1.7,1.2,0,0,7.3,17.4,0.418,3.4,9.1,0.371,1.4,1.5,0.911
Kris Dunn,POR,13,24.3,8.0,5.6,0.7,2.9,3.6,1.6,0.2,2.2,2.7,-6.6,0,0,3.4,7.7,0.44,0.1,0.8,0.091,1.2,1.2,0.938
Kristaps Porzingis,WAS,51,29.0,20.2,2.3,2.0,6.1,8.1,0.7,1.6,1.6,2.7,0.6,15,0,6.9,15.0,0.459,1.5,4.9,0.31,4.9,5.6,0.867
Kyle Anderson,MEM,66,21.4,7.4,2.6,1.0,4.3,5.4,1.1,0.7,1.0,1.6,1.0,2,0,3.0,6.8,0.439,0.5,1.5,0.324,0.9,1.5,0.626
Kyle Guy,MIA,19,9.8,3.9,0.9,0.2,0.7,0.9,0.4,0.1,0.7,0.6,-2.5,0,0,1.4,3.4,0.4,0.7,2.1,0.35,0.4,0.6,0.667
Kyle Kuzma,WAS,66,33.4,17.1,3.5,1.1,7.4,8.5,0.6,0.9,2.6,1.9,-4.3,24,1,6.4,14.2,0.452,1.9,5.7,0.341,2.4,3.3,0.712
Kyle Lowry,MIA,62,33.9,13.4,7.6,0.5,4.0,4.5,1.0,0.3,2.7,2.8,4.0,16,2,4.3,10.0,0.436,2.3,6.1,0.375,2.4,2.8,0.855
Kyrie Irving,BKN,27,37.5,27.5,5.7,0.6,3.7,4.2,1.4,0.6,2.5,2.8,4.0,2,0,9.9,21.3,0.465,3.5,8.4,0.42,4.2,4.6,0.919
LaMarcus Aldridge,BKN,47,22.3,12.9,0.9,1.6,3.9,5.5,0.3,1.0,0.9,1.7,0.4,2,0,5.4,9.7,0.55,0.3,1.0,0.304,1.9,2.2,0.873
LaMelo Ball,CHA,73,32.4,20.0,7.6,1.4,5.2,6.7,1.6,0.4,3.2,3.2,0.8,22,5,7.2,16.7,0.427,2.9,7.5,0.381,2.8,3.3,0.87
Lamar Stevens,CLE,61,16.0,6.1,0.7,0.7,1.9,2.6,0.5,0.3,0.6,1.7,-0.4,0,0,2.5,5.0,0.497,0.3,1.0,0.29,0.9,1.2,0.707
Lance Stephenson,IND,44,17.6,8.3,3.5,0.3,2.5,2.8,0.5,0.1,1.6,2.0,-2.1,3,0,3.2,7.0,0.455,0.6,2.0,0.295,1.3,1.6,0.792
Landry Shamet,PHX,67,20.8,8.1,1.5,0.2,1.6,1.8,0.4,0.1,0.6,1.3,2.3,0,0,2.7,6.9,0.39,1.8,4.8,0.368,1.0,1.2,0.84
Langston Galloway,MIL,7,15.2,2.0,1.7,0.4,2.1,2.6,0.1,0.0,0.9,1.0,-1.7,0,0,0.9,3.7,0.231,0.3,2.3,0.125,0.0,0.0,0.0
Larry Nance Jr.,NOP,43,22.9,7.0,1.9,1.5,4.0,5.5,0.9,0.5,0.8,1.8,-1.1,0,0,2.8,5.3,0.526,0.5,1.5,0.333,0.9,1.3,0.691
Lauri Markkanen,CLE,59,31.0,14.6,1.4,1.0,4.7,5.7,0.8,0.5,0.9,2.1,2.7,3,0,5.1,11.5,0.44,2.2,6.2,0.353,2.3,2.6,0.865
LeBron James,LAL,56,37.2,30.3,6.2,1.1,7.1,8.2,1.3,1.1,3.5,2.2,-2.1,21,6,11.4,21.8,0.524,2.9,8.0,0.359,4.5,6.0,0.756
Leandro Bolmaro,MIN,34,6.6,1.1,0.5,0.4,0.7,1.2,0.2,0.0,0.4,0.7,-0.4,0,0,0.4,1.3,0.289,0.1,0.5,0.235,0.3,0.3,0.818
Lindell Wigginton,MIL,17,8.9,3.5,0.8,0.1,1.1,1.2,0.2,0.1,0.6,0.7,-2.2,0,0,1.1,2.5,0.442,0.4,1.1,0.368,0.9,1.6,0.556
Lindy Waters III,OKC,25,18.6,8.0,1.0,0.2,2.7,2.9,0.8,0.3,0.4,1.2,-1.6,0,0,2.8,7.0,0.406,2.1,5.8,0.363,0.2,0.2,0.8
Lonnie Walker IV,SAS,69,23.0,12.0,2.2,0.3,2.3,2.6,0.6,0.3,1.0,1.4,-1.1,0,0,4.4,10.9,0.405,1.6,5.0,0.315,1.6,2.1,0.775
Lonzo Ball,CHI,35,34.6,13.0,5.1,1.0,4.4,5.4,1.8,0.9,2.3,2.4,2.3,3,1,4.6,10.9,0.423,3.1,7.4,0.423,0.6,0.8,0.75
Lou Williams,ATL,56,14.3,6.3,1.9,0.3,1.3,1.6,0.5,0.1,0.8,0.9,0.3,0,0,2.2,5.7,0.391,0.7,1.8,0.363,1.2,1.4,0.859
Louis King,SAC,10,10.4,4.5,0.9,0.0,1.2,1.2,0.2,0.1,0.0,1.4,-2.9,0,0,1.5,4.7,0.319,0.8,2.7,0.296,0.7,1.0,0.7
Luguentz Dort,OKC,51,32.7,17.2,1.7,0.7,3.4,4.2,0.9,0.4,1.7,2.9,-5.8,0,0,5.7,14.2,0.404,2.5,7.7,0.332,3.2,3.7,0.843
Luka Doncic,DAL,63,35.6,28.3,8.8,0.9,8.2,9.1,1.2,0.5,4.5,2.3,1.4,43,10,9.9,21.7,0.455,3.0,8.7,0.349,5.5,7.5,0.74
Luka Garza,DET,31,11.6,5.4,0.5,1.6,1.3,2.9,0.3,0.2,0.5,1.7,-1.3,1,0,1.9,4.2,0.45,0.5,1.4,0.333,1.2,1.8,0.655
Luke Kennard,LAC,68,27.5,11.8,2.1,0.3,3.0,3.3,0.6,0.1,0.8,1.5,2.3,1,0,4.1,9.0,0.45,2.7,6.0,0.45,1.0,1.1,0.893
Luke Kornet,BOS,13,5.7,1.4,0.5,0.6,0.8,1.5,0.2,0.2,0.0,0.5,1.5,0,0,0.6,1.5,0.421,0.0,0.2,0.0,0.2,0.3,0.5
MJ Walker,PHX,2,4.2,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,-1.5,0,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mac McClung,CHI,1,2.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Malachi Flynn,TOR,41,11.8,4.2,1.5,0.2,1.2,1.4,0.4,0.1,0.3,1.0,-0.1,0,0,1.6,4.0,0.407,0.7,2.0,0.333,0.3,0.6,0.609
Malcolm Brogdon,IND,36,33.5,19.1,5.9,0.9,4.2,5.1,0.8,0.4,2.1,2.0,0.0,6,1,6.8,15.1,0.448,1.6,5.2,0.312,4.0,4.6,0.856
Malcolm Hill,CHI,18,11.1,3.9,0.3,0.6,1.2,1.8,0.3,0.2,0.1,1.2,-1.2,0,0,1.3,2.8,0.46,0.7,1.9,0.371,0.6,0.8,0.786
Malik Beasley,MIN,77,25.1,12.1,1.5,0.3,2.6,2.9,0.5,0.2,0.6,1.1,1.2,0,0,4.2,10.8,0.393,3.1,8.1,0.379,0.6,0.8,0.81
Malik Fitts,BOS,14,3.8,1.0,0.2,0.1,0.9,1.0,0.0,0.0,0.1,0.3,-1.2,0,0,0.4,1.1,0.333,0.3,0.6,0.444,0.0,0.0,0.0
Malik Monk,LAL,73,27.8,13.3,2.8,0.5,2.8,3.3,0.8,0.4,1.5,1.8,0.7,1,0,5.0,10.6,0.472,2.2,5.7,0.391,1.1,1.4,0.779
Malik Newman,CLE,1,7.7,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0
Mamadi Diakite,OKC,13,14.4,4.3,0.2,1.3,3.2,4.5,0.4,0.7,0.5,2.5,-1.1,0,0,1.9,3.6,0.532,0.0,0.4,0.0,0.5,0.8,0.545
Marcus Garrett,MIA,12,10.7,1.1,0.6,0.8,1.2,1.9,0.4,0.3,0.2,1.3,1.4,0,0,0.4,1.8,0.238,0.1,0.3,0.25,0.2,0.4,0.4
Marcus Morris Sr.,LAC,53,29.1,15.5,2.1,0.5,4.0,4.5,0.5,0.3,1.3,2.1,-2.9,2,0,5.6,12.8,0.437,1.9,5.0,0.371,2.4,2.8,0.871
Marcus Smart,BOS,69,32.5,12.0,5.9,0.6,3.3,3.9,1.7,0.3,2.2,2.3,6.2,2,0,4.2,10.1,0.414,1.6,5.0,0.326,2.0,2.6,0.791
Markelle Fultz,ORL,17,19.4,10.9,4.9,0.2,2.5,2.8,1.1,0.3,2.1,1.1,-2.4,0,0,4.6,9.6,0.479,0.2,0.8,0.286,1.5,1.8,0.806
Markieff Morris,MIA,17,17.5,7.6,1.4,1.0,1.6,2.6,0.4,0.1,1.2,1.9,1.1,0,0,3.2,6.7,0.474,0.8,2.3,0.333,0.5,0.5,0.889
Marko Simonovic,CHI,9,3.9,1.9,0.0,0.6,0.6,1.1,0.1,0.1,0.2,0.7,0.3,0,0,0.4,1.7,0.267,0.1,0.6,0.2,0.9,1.2,0.727
Markus Howard,DEN,29,5.1,3.5,0.2,0.0,0.3,0.3,0.3,0.0,0.2,0.4,0.5,0,0,1.1,2.8,0.378,0.9,2.1,0.433,0.4,0.5,0.867
Marquese Chriss,DAL,33,9.8,4.5,0.5,0.9,2.1,3.0,0.4,0.4,0.5,1.8,-0.2,0,0,1.8,3.8,0.472,0.2,0.8,0.32,0.6,0.9,0.645
Marvin Bagley III,DET,48,23.9,11.3,0.8,2.2,4.9,7.0,0.5,0.4,0.8,1.9,-2.8,7,0,4.7,9.3,0.504,0.5,2.0,0.237,1.4,2.1,0.663
